FID,NAME,GSS_CODE,Airbnb
0,Kingston upon Thames,E09000021,368
1,Croydon,E09000008,710
2,Bromley,E09000006,438
3,Hounslow,E09000018,713
4,Ealing,E09000009,1239
5,Havering,E09000016,140
6,Hillingdon,E09000017,422
7,Harrow,E09000015,315
8,Brent,E09000005,1824
9,Barnet,E09000003,1040
10,Lambeth,E09000022,3602
11,Southwark,E09000028,3605
12,Lewisham,E09000023,1593
13,Greenwich,E09000011,1106
14,Bexley,E09000004,144
15,Enfield,E09000010,388
16,Waltham Forest,E09000031,975
17,Redbridge,E09000026,440
18,Sutton,E09000029,190
19,Richmond upon Thames,E09000027,832
20,Merton,E09000024,872
21,Wandsworth,E09000032,2975
22,Hammersmith and Fulham,E09000013,3094
23,Kensington and Chelsea,E09000020,4124
24,Westminster,E09000033,6686
25,Camden,E09000007,4457
26,Tower Hamlets,E09000030,5671
27,Islington,E09000019,3833
28,Hackney,E09000012,4544
29,Haringey,E09000014,1565
30,Newham,E09000025,1344
31,Barking and Dagenham,E09000002,187
32,City of London,E09000001,338